color,make,model,model_variant,cityPurple,Mercedes-Benz,S 500,S 500,Zuzwil
White,Renault,Alpine A110,1300 VC Gordini,Zuzwil
Blue,Mercedes-Benz,ML 500,ML 500,Zuzwil
Other,Mercedes-Benz,SL 600,SL 600,Zuzwil
Gray,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,Mercedes-Benz,CL 500,CL 500,Zuzwil
Black,Opel,MANTA,400 Breitbau,Zuzwil
Black,Toyota,CELICA,Celica 2800 i Supra,Zuzwil
Blue,Hummer,H3,H3 3.5 Luxury,Zuzwil
Black,Lamborghini,HURACAN,Huracan LP610-4 Coupé,Zuzwil
Black,Lancia,DELTA,Delta HF Integrale Evo 4V,Zuzwil
Black,Porsche,911,911 Turbo,Zuzwil
Silver,Ferrari,599,599 GTB HGTE,Zuzwil
Blue,Mercedes-Benz,500,500 SE,Zuzwil
Blue,Lotus,ESPRIT,Esprit 3.5 V8 SE,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Green,BMW,730,730i,Zuzwil
Black,Kaiser,null,CJ-5 12V ARMEEFAHRZEUG,Zuzwil
Silver,Porsche,911,911 Carrera 4,Zuzwil
Silver,VW,GOLF,Golf R32 4Motion,Zuzwil
Blue,Renault,CLIO,Clio 2.0 16V Sport,Zuzwil
Gray,Mercedes-Benz,S 250,S 250 CDI BlueEff SS,Zuzwil
Black,BMW,330,330Ci,Zuzwil
Silver,BMW,X5,X5 4.4i,Zuzwil
White,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,Audi,RS6,RS6 Avant quattro,Zuzwil
Green,Mercedes-Benz,null,CLK DTM AMG,Zuzwil
Black,BMW,M6,M6,Zuzwil
Black,Audi,A8,A8 3.7,Zuzwil
Red,Ferrari,575M,575M,Zuzwil
Black,Alfa Romeo,GTV,2000 Bertone,Zuzwil
Black,BMW,M6,M6,Zuzwil
Blue,Bentley,ARNAGE,Arnage Green Label,Zuzwil
Black,Mercedes-Benz,SL 500,SL 500,Zuzwil
Black,Audi,RS5,RS5 Coupé 4.2FSI quattro,Zuzwil
Silver,Mercedes-Benz,E 320,E 320 CDI Avantgarde,Zuzwil
White,Rolls-Royce,PHANTOM,Phantom 6.7 V12,Zuzwil
Blue,Mercedes-Benz,null,CLK DTM AMG,Zuzwil
White,Mercedes-Benz,CL 600,CL 600,Zuzwil
Blue,Audi,RS6,RS6 Avant quattro,Zuzwil
Blue,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Blue,Mercedes-Benz,SLR,McLaren Roadster,Zuzwil
Gray,Maserati,QUATTROPORTE,Quattroporte 4.2,Zuzwil
Silver,Mercedes-Benz,C 280,C 280 Elégance,Zuzwil
Silver,Renault,ALPINE,Alpine A310 V6,Zuzwil
Green,Mercedes-Benz,S 600,S 600,Zuzwil
Blue,Porsche,924,Turbo,Zuzwil
Black,Bentley,CONTINENTAL,Continental GT 6.0,Zuzwil
Black,Jaguar,XK,XKR 5.0 V8 SC,Zuzwil
Silver,Audi,S8,S8 4.2 quattro,Zuzwil
Silver,BMW,X1,X1 xDrive 25d Sport Line,Zuzwil
Blue,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Silver,Fiat,STILO,Stilo 1.8 16V Swiss,Zuzwil
Silver,Lancia,null,Monte Carlo 137 AS,Zuzwil
Silver,Mercedes-Benz,E 320,E 320 Elégance,Zuzwil
Silver,Porsche,CAYENNE,Cayenne S,Zuzwil
Silver,Audi,S7,S7 Sportback 4.0 TFSI V8 quattro,Zuzwil
Black,Lamborghini,MURCIÉLAGO,Murciélago LP640-4 Cpé,Porrentruy
Black,Porsche,911,911 Targa,Zuzwil
Silver,Mercedes-Benz,SL 500,6.0 AMG,Zuzwil
Silver,BMW,M5,M5,Zuzwil
Silver,Bentley,ARNAGE,Arnage T,Zuzwil
Silver,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Silver,Mercedes-Benz,CLK 55 AMG,CLK 55 AMG Avantgarde,Zuzwil
Black,Mercedes-Benz,S 600,S 600,Zuzwil
Silver,Lamborghini,MURCIÉLAGO,Murciélago 6.2 Coupé,Porrentruy
White,Aston Martin,V8 Vantage,V8 Vantage 4.7,Zuzwil
White,Mercedes-Benz,ML 400,ML 400 CDI,Zuzwil
White,Mercedes-Benz,CLK 55 AMG,CLK 55 AMG Avantgarde,Zuzwil
Green,Audi,S3,S3 2.0 TFSI quattro,Zuzwil
Black,Mercedes-Benz,C 63 AMG,BLACK SERIES,Zuzwil
Silver,Porsche,911,911 Carrera 4 S,Zuzwil
White,Ferrari,599,599 GTB,Zuzwil
Blue,Mercedes-Benz,C 320,C 320 Elégance,Zuzwil
Gray,Ferrari,F360,F360 Spider,Zuzwil
Gray,Porsche,911,911 Turbo,Zuzwil
Gray,Mercedes-Benz,S 500,S 500 L,Zuzwil
Black,Porsche,911,911 Turbo,Zuzwil
Blue,Mercedes-Benz,SLK 350,SLK 350,Zuzwil
Silver,Toyota,CARINA,Deluxe,Zuzwil
Blue,Mercedes-Benz,E 230,E 230 Elégance,Zuzwil
White,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
White,Delorean,null,De Lorean DMC-12,Zuzwil
Green,Ferrari,MONDIAL,Mondial 3.4 T,Zuzwil
Red,Porsche,911,911 Turbo,Zuzwil
Red,Ferrari,F430,F430,Zuzwil
Black,Ferrari,F355,F355 Spider,Zuzwil
Silver,Mercedes-Benz,E 250,E 250 CGI BlueEff Avgarde,Zuzwil
Silver,Mercedes-Benz,SLK 200,SLK 200 Kompressor,Zuzwil
Silver,Land Rover,DISCOVERY,Discovery 3.9,Zuzwil
Blue,Audi,A8,A8 4.2 quattro,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Green,Mercedes-Benz,E 420,E 420 Elégance,Zuzwil
Green,Porsche,911,911 GT2,Zuzwil
Red,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Red,Marcos,null,1600 GT,Zuzwil
Red,Dodge,null,B 200,Zuzwil
Black,Mercedes-Benz,ML 500,ML 500 4Matic,Zuzwil
Black,Audi,A4,A4 Avant 3.0 V6,Zuzwil
Blue,Citroen,C5,C5 3.0 V6 Exclusive,Zuzwil
Silver,Maserati,BITURBO,Biturbo Spyder E,Zuzwil
Green,NSU,null,TT,Zuzwil
Red,Mitsubishi,STARION,Starion 2000 Turbo,Zuzwil
Silver,VW,TOUAREG,Touareg 5.0 TDI V10,Zuzwil
Blue,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Gray,Mercedes-Benz,SLK 350,SLK 350,Zuzwil
Black,Porsche,911,911 Carrera Jubilé 40,Zuzwil
Black,Mercedes-Benz,CLS 55 AMG,CLS 55 AMG,Zuzwil
Blue,BMW,M5,M5,Zuzwil
Blue,Toyota,CELICA,1600 GT,Zuzwil
Red,Mercedes-Benz,CL 600,CL 600,Zuzwil
Black,BMW,335,335i,Zuzwil
Black,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Silver,Mercedes-Benz,C 240,C 240 Elégance,Zuzwil
Silver,Mercedes-Benz,SL 320,SL 320,Zuzwil
Silver,Alfa Romeo,8C,Coupé,Zuzwil
Black,Seat,LEON,Leon 2.0 TSI FR,Zuzwil
Black,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Silver,Rolls-Royce,CORNICHE,Corniche,Zuzwil
Silver,Porsche,911,911 Turbo,Zuzwil
Gray,Porsche,924,Turbo,Zuzwil
Blue,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Blue,Mercedes-Benz,E 420,E 420 Elégance,Zuzwil
Blue,Mercedes-Benz,S 600,S 600,Zuzwil
White,Mercedes-Benz,S 500,S 500 4Matic,Zuzwil
White,Porsche,911,911 Turbo,Zuzwil
Blue,Mercedes-Benz,S 500,S 500,Zuzwil
Red,Audi,A4,A4 Avant 2.8 q.Ambition,Zuzwil
Black,Mercedes-Benz,G 63 AMG,G 63 AMG,Zuzwil
Black,Jeep,Grand Cherokee,Grand Cherokee 4.0 Ltd.,Zuzwil
Black,Lamborghini,GALLARDO,Gallardo 5.0 V10 Coupé,Zuzwil
Silver,Ferrari,599,599 GTB,Zuzwil
Silver,Ferrari,F430,F430 Scuderia,Zuzwil
Blue,Mercedes-Benz,SLK 230,SLK 230 Kompressor,Zuzwil
Yellow,Toyota,CAMRY,2000 GLi Super Liftback,Safenwil
Gray,Mercedes-Benz,SL 500,SL 500 Special Edition,Zuzwil
Green,Mercedes-Benz,E 430,E 430 Avantgarde,Zuzwil
Blue,Ford,EXPLORER,Explorer 4.0 Ltd. Edition,Zuzwil
Black,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Black,Mercedes-Benz,SL 500,SL 500,Zuzwil
Silver,Mercedes-Benz,null,6.7 BRABUS,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
White,Porsche,PANAMERA,Panamera Turbo 4.8,Zuzwil
Green,Mercedes-Benz,SL 600,SL 600,Zuzwil
Red,Jaguar,XK,XKR S/C Convertible,Zuzwil
Blue,BMW,M3,M3,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo S,Zuzwil
Silver,Audi,RS4,RS4 4.2 V8 quattro,Zuzwil
Silver,BMW,M6,M6,Zuzwil
Red,Dodge,VIPER,RT/10,Zuzwil
Red,Volvo,V70,V70 2.4T,Zuzwil
Black,Mercedes-Benz,E 63 AMG,E 63 AMG,Zuzwil
Black,Mercedes-Benz,S 350,S 350 L 4Matic,Zuzwil
Black,Ferrari,612,612,Zuzwil
Silver,Porsche,911,SC 3.0,Zuzwil
White,Triumph,Dolomite,Sprint,Zuzwil
Gray,Porsche,911,911 Carrera Targa,Zuzwil
Gray,Ferrari,F550,F550 Maranello,Zuzwil
Red,Mercedes-Benz,S 63 AMG,S 63 AMG,Zuzwil
Black,Audi,RS4,RS4 Avant 4.2 V8 quattro,Zuzwil
Silver,Mercedes-Benz,300,300SL W198,Sursee
Blue,Jaguar,XJ,XJ 4.0 Sovereign,Zuzwil
Silver,Mercedes-Benz,CL 500,CL 500,Zuzwil
White,Porsche,911,911 Turbo S Cabrio,Zuzwil
Gray,Mercedes-Benz,E 320,E 320 Elégance 4-Matic,Zuzwil
Gray,Porsche,911,911 Turbo,Zuzwil
Red,Porsche,911,911 Carrera,Zuzwil
Gold,BMW,M3,M3,Zuzwil
Gray,Aston Martin,V12 Vanquish,Vanquish V12,Zuzwil
Black,Maserati,QUATTROPORTE,Quattroporte 4.2,Zuzwil
Black,Bentley,CONTINENTAL,Continental GTC 6.0,Zuzwil
Black,Mercedes-Benz,SL 65 AMG,SL 65 AMG,Zuzwil
Black,Rolls-Royce,CORNICHE,Convertible,Basel
Blue,VW,EOS,Eos 2.0 FSI T,Zuzwil
Other,Mercedes-Benz,SL 300,SL 300,Zuzwil
Gray,Mercedes-Benz,S 55 AMG,S 55 AMG,Zuzwil
Green,Ferrari,456,456M GTA,Zuzwil
Black,Ferrari,456,456M GTA,Zuzwil
Silver,Porsche,911,911 Turbo,Zuzwil
White,McLaren,12C,MP4-12C Coupé 3.8 V8,Zuzwil
Blue,Mercedes-Benz,190,190 E 2.5-16 ABS,Zuzwil
Yellow,Audi,S6,S6 quattro,Zuzwil
Gray,Mercedes-Benz,ML 63 AMG,ML 63 AMG 4Matic,Zuzwil
Green,BMW,M5,M5,Zuzwil
Red,Porsche,CAYENNE,Cayenne S,Zuzwil
Black,BMW,323,E21,Zuzwil
Black,BMW,M5,M5,Zuzwil
Silver,BMW,735,735i,Zuzwil
Yellow,Mercedes-Benz,S 320,S 320,Zuzwil
Gray,Renault,R5,R5 1400 Alpine Turbo,Zuzwil
Gray,Porsche,911,911 Carrera RS Clubsport/993 GT2,Zuzwil
Gray,Mercedes-Benz,SLR,730PS,Zuzwil
Gray,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Silver,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
White,Maserati,SPYDER GT,Spyder GT,Zuzwil
White,Porsche,911,911 Turbo,Zuzwil
Gray,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Gray,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,BMW,323,323i Sport Edition,Zuzwil
Black,Audi,R8,R8 Coupé 4.2,Zuzwil
